name_old,name_new,diet_old,diet_new,period_yearsago,period,years_ago,millions_years,lived_in,latitude,longitude,type_old,type_new,length,taxonomy,named_by,species_old,species_new,link
yingshanosaurus,Yingshanosaurus,herbivorous,Herbivorous,Late Jurassic 159-142 million years ago,Late Jurassic ,159-142 million years ago,159,China,35.8617,104.1954,armoured dinosaur,Armoured Dinosaur,,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria,Watanabe (1992),jichuanensis,Jichuanensis,https://www.nhm.ac.uk/discover/dino-directory/yingshanosaurus.html
chungkingosaurus,Chungkingosaurus,herbivorous,Herbivorous,Late Jurassic 159-142 million years ago,Late Jurassic ,159-142 million years ago,159,China,35.8617,104.1954,armoured dinosaur,Armoured Dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Dong Zhou and Zhang (1983),jiangbeiensis,Jiangbeiensis,https://www.nhm.ac.uk/discover/dino-directory/chungkingosaurus.html
chinshakiangosaurus,Chinshakiangosaurus,herbivorous,Herbivorous,Late Jurassic 159-142 million years ago,Late Jurassic ,159-142 million years ago,159,China,35.8617,104.1954,sauropod,Sauropod,11.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,Yeh (1975),zhongheensis,Zhongheensis,https://www.nhm.ac.uk/discover/dino-directory/chinshakiangosaurus.html
tuojiangosaurus,Tuojiangosaurus,herbivorous,Herbivorous,Late Jurassic 157-154 million years ago,Late Jurassic ,157-154 million years ago,157,China,35.8617,104.1954,armoured dinosaur,Armoured Dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Dong Li Zhou and Zhang (1973),multispinus,Multispinus,https://www.nhm.ac.uk/discover/dino-directory/tuojiangosaurus.html
allosaurus,Allosaurus,carnivorous,Carnivorous,Late Jurassic 156-144 million years ago,Late Jurassic ,156-144 million years ago,156,USA,37.0902,-95.7129,large theropod,Large Theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Marsh (1877),fragilis,Fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html
kentrosaurus,Kentrosaurus,herbivorous,Herbivorous,Late Jurassic 155-150 million years ago,Late Jurassic ,155-150 million years ago,155,Tanzania,6.369,34.8888,armoured dinosaur,Armoured Dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Hennig (1915),aethiopicus,Aethiopicus,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html
stegosaurus,Stegosaurus,herbivorous,Herbivorous,Late Jurassic 155-145 million years ago,Late Jurassic ,155-145 million years ago,155,USA,37.0902,-95.7129,armoured dinosaur,Armoured Dinosaur,9.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Marsh (1877),armatus,Armatus,https://www.nhm.ac.uk/discover/dino-directory/stegosaurus.html
diplodocus,Diplodocus,herbivorous,Herbivorous,Late Jurassic 155-145 million years ago,Late Jurassic ,155-145 million years ago,155,USA,37.0902,-95.7129,sauropod,Sauropod,26.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1878),longus,Longus,https://www.nhm.ac.uk/discover/dino-directory/diplodocus.html
coelurus,Coelurus,carnivorous,Carnivorous,Late Jurassic 155-145 million years ago,Late Jurassic ,155-145 million years ago,155,USA,37.0902,-95.7129,small theropod,Small Theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Marsh (1879),fragilis,Fragilis,https://www.nhm.ac.uk/discover/dino-directory/coelurus.html
camptosaurus,Camptosaurus,herbivorous,Herbivorous,Late Jurassic 155-145 million years ago,Late Jurassic ,155-145 million years ago,155,USA,37.0902,-95.7129,euornithopod,Euornithopod,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia,Marsh (1885),dispar,Dispar,https://www.nhm.ac.uk/discover/dino-directory/camptosaurus.html
