name_old,name_new,diet_old,diet_new,period_yearsago,period,years_ago,millions_years,lived_in,latitude,longitude,type_old,type_new,length,taxonomy,named_by,species_old,species_new,link
udanoceratops,Udanoceratops,herbivorous,Herbivorous,Late Cretaceous 81-75 million years ago,Late Cretaceous,81-75 million years ago,81,Mongolia,46.8625,103.8467,ceratopsian,Ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Kurzanov (1992),tschizhovi,Tschizhovi,https://www.nhm.ac.uk/discover/dino-directory/udanoceratops.html
pinacosaurus,Pinacosaurus,herbivorous,Herbivorous,Late Cretaceous 81-75 million years ago,Late Cretaceous,81-75 million years ago,81,Mongolia,46.8625,103.8467,armoured dinosaur,Armoured Dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Gilmore (1933),grangeri,Grangeri,https://www.nhm.ac.uk/discover/dino-directory/pinacosaurus.html
khaan,Khaan,omnivorous,Omnivorous,Late Cretaceous 81-75 million years ago,Late Cretaceous,81-75 million years ago,81,Mongolia,46.8625,103.8467,small theropod,Small Theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Clark Norell and Barsbold (2001),mckennai,Mckennai,https://www.nhm.ac.uk/discover/dino-directory/khaan.html
goyocephale,Goyocephale,herbivorous,Herbivorous,Late Cretaceous 81-75 million years ago,Late Cretaceous,81-75 million years ago,81,Mongolia,46.8625,103.8467,large theropod,Large Theropod,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala,Perle Maryańska and Osmólska (1982),lattimorei,Lattimorei,https://www.nhm.ac.uk/discover/dino-directory/goyocephale.html
citipati,Citipati,omnivorous,Omnivorous,Late Cretaceous 81-75 million years ago,Late Cretaceous,81-75 million years ago,81,Mongolia,46.8625,103.8467,small theropod,Small Theropod,2.1m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Clark Norell and Barsbold (2001),osmolskae,Osmolskae,https://www.nhm.ac.uk/discover/dino-directory/citipati.html
mononykus,Mononykus,unknown,Unknown,Late Cretaceous 81-68 million years ago,Late Cretaceous,81-68 million years ago,81,Mongolia,46.8625,103.8467,small theropod,Small Theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Perle Norell Chiappe and Clark (1993),olecranus,Olecranus,https://www.nhm.ac.uk/discover/dino-directory/mononykus.html
avimimus,Avimimus,omnivorous,Omnivorous,Late Cretaceous 80-75 million years ago,Late Cretaceous,80-75 million years ago,80,Mongolia,46.8625,103.8467,small theropod,Small Theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Avimimidae,Kurzanov (1981),portentosus,Portentosus,https://www.nhm.ac.uk/discover/dino-directory/avimimus.html
maiasaura,Maiasaura,herbivorous,Herbivorous,Late Cretaceous 80-75 million years ago,Late Cretaceous,80-75 million years ago,80,USA,37.0902,-95.7129,euornithopod,Euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Horner and Makela (1979),peeblesorum,Peeblesorum,https://www.nhm.ac.uk/discover/dino-directory/maiasaura.html
avaceratops,Avaceratops,herbivorous,Herbivorous,Late Cretaceous 80-75 million years ago,Late Cretaceous,80-75 million years ago,80,USA,37.0902,-95.7129,ceratopsian,Ceratopsian,2.3m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Dodson (1986),lammersi,Lammersi,https://www.nhm.ac.uk/discover/dino-directory/avaceratops.html
albertaceratops,Albertaceratops,herbivorous,Herbivorous,Late Cretaceous 80-75 million years ago,Late Cretaceous,80-75 million years ago,80,USA,37.0902,-95.7129,ceratopsian,Ceratopsian,7.0m,Dinosauria Ornithischia,Ryan 2007,nesmoi,Nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html
gorgosaurus,Gorgosaurus,carnivorous,Carnivorous,Late Cretaceous 80-73 million years ago,Late Cretaceous,80-73 million years ago,80,USA,37.0902,-95.7129,large theropod,Large Theropod,8.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),libratus,Libratus,https://www.nhm.ac.uk/discover/dino-directory/gorgosaurus.html
prenocephale,Prenocephale,herbivorous,Herbivorous,Late Cretaceous 80-65 million years ago,Late Cretaceous,80-65 million years ago,80,Mongolia,46.8625,103.8467,euornithopod,Euornithopod,2.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Maryańska and Osmólska (1974),prenes,Prenes,https://www.nhm.ac.uk/discover/dino-directory/prenocephale.html
saichania,Saichania,herbivorous,Herbivorous,Late Cretaceous 80 million years ago,Late Cretaceous,80 million years ago,80,Mongolia,46.8625,103.8467,armoured dinosaur,Armoured Dinosaur,6.6m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maryañska (1977),chulsanensis,Chulsanensis,https://www.nhm.ac.uk/discover/dino-directory/saichania.html
maxakalisaurus,Maxakalisaurus,herbivorous,Herbivorous,Late Cretaceous 80 million years ago,Late Cretaceous,80 million years ago,80,Brazil,-14.235,-51.9253,sauropod,Sauropod,13.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae Saltasaurinae,Kellner et al. (2006),topai,Topai,https://www.nhm.ac.uk/discover/dino-directory/maxakalisaurus.html
panoplosaurus,Panoplosaurus,herbivorous,Herbivorous,Late Cretaceous 79-75 million years ago,Late Cretaceous,79-75 million years ago,79,USA,37.0902,-95.7129,armoured dinosaur,Armoured Dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Lambe (1919),mirus,Mirus,https://www.nhm.ac.uk/discover/dino-directory/panoplosaurus.html
kritosaurus,Kritosaurus,herbivorous,Herbivorous,Late Cretaceous 78-74 million years ago,Late Cretaceous,78-74 million years ago,78,USA,37.0902,-95.7129,euornithopod,Euornithopod,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1910),navajovius,Navajovius,https://www.nhm.ac.uk/discover/dino-directory/kritosaurus.html
hadrosaurus,Hadrosaurus,herbivorous,Herbivorous,Late Cretaceous 78-74 million years ago,Late Cretaceous,78-74 million years ago,78,USA,37.0902,-95.7129,euornithopod,Euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Leidy (1858),foulkii,Foulkii,https://www.nhm.ac.uk/discover/dino-directory/hadrosaurus.html
shantungosaurus,Shantungosaurus,herbivorous,Herbivorous,Late Cretaceous 78-74 million years ago,Late Cretaceous,78-74 million years ago,78,China,35.8617,104.1954,euornithopod,Euornithopod,15.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Hu (1973),giganteus,Giganteus,https://www.nhm.ac.uk/discover/dino-directory/shantungosaurus.html
prosaurolophus,Prosaurolophus,herbivorous,Herbivorous,Late Cretaceous 77-75 million years ago,Late Cretaceous,77-75 million years ago,77,USA,37.0902,-95.7129,euornithopod,Euornithopod,7.6m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1916),maximus,Maximus,https://www.nhm.ac.uk/discover/dino-directory/prosaurolophus.html
struthiomimus,Struthiomimus,omnivorous,Omnivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,Canada,56.1304,-106.3468,small theropod,Small Theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osborn (1917),altus,Altus,https://www.nhm.ac.uk/discover/dino-directory/struthiomimus.html
parksosaurus,Parksosaurus,herbivorous,Herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,Canada,56.1304,-106.3468,euornithopod,Euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Sternberg (1937),warrenae,Warrenae,https://www.nhm.ac.uk/discover/dino-directory/parksosaurus.html
pachyrhinosaurus,Pachyrhinosaurus,herbivorous,Herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,Canada,56.1304,-106.3468,ceratopsian,Ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sternberg (1950),canadensis,Canadensis,https://www.nhm.ac.uk/discover/dino-directory/pachyrhinosaurus.html
lambeosaurus,Lambeosaurus,herbivorous,Herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,Canada,56.1304,-106.3468,euornithopod,Euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Parks (1923),lambei,Lambei,https://www.nhm.ac.uk/discover/dino-directory/lambeosaurus.html
edmontonia,Edmontonia,herbivorous,Herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,Canada,56.1304,-106.3468,armoured dinosaur,Armoured Dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Sternberg (1928),longiceps,Longiceps,https://www.nhm.ac.uk/discover/dino-directory/edmontonia.html
daspletosaurus,Daspletosaurus,carnivorous,Carnivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,Canada,56.1304,-106.3468,large theropod,Large Theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Russell (1970),torosus,Torosus,https://www.nhm.ac.uk/discover/dino-directory/daspletosaurus.html
chasmosaurus,Chasmosaurus,herbivorous,Herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,Canada,56.1304,-106.3468,ceratopsian,Ceratopsian,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,belli,,,https://www.nhm.ac.uk/discover/dino-directory/chasmosaurus.html
centrosaurus,Centrosaurus,herbivorous,Herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,Canada,56.1304,-106.3468,ceratopsian,Ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,apertus,,,https://www.nhm.ac.uk/discover/dino-directory/centrosaurus.html
albertosaurus,Albertosaurus,carnivorous,Carnivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,Canada,56.1304,-106.3468,large theropod,Large Theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),libratus,Libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html
stegoceras,Stegoceras,herbivorous,Herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,USA,37.0902,-95.7129,euornithopod,Euornithopod,2.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Lambe (1902),validum,Validum,https://www.nhm.ac.uk/discover/dino-directory/stegoceras.html
pentaceratops,Pentaceratops,herbivorous,Herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,USA,37.0902,-95.7129,ceratopsian,Ceratopsian,6.8m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Osborn (1923),sternbergi,Sternbergi,https://www.nhm.ac.uk/discover/dino-directory/pentaceratops.html
parasaurolophus,Parasaurolophus,herbivorous,Herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,USA,37.0902,-95.7129,euornithopod,Euornithopod,11.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Parks (1922),walkeri,Walkeri,https://www.nhm.ac.uk/discover/dino-directory/parasaurolophus.html
dromaeosaurus,Dromaeosaurus,carnivorous,Carnivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,USA,37.0902,-95.7129,small theropod,Small Theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Matthew and Brown (1922),albertensis,Albertensis,https://www.nhm.ac.uk/discover/dino-directory/dromaeosaurus.html
corythosaurus,Corythosaurus,herbivorous,Herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76-74 million years ago,76,USA,37.0902,-95.7129,euornithopod,Euornithopod,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Brown (1914),casuarius,Casuarius,https://www.nhm.ac.uk/discover/dino-directory/corythosaurus.html
rhabdodon,Rhabdodon,herbivorous,Herbivorous,Late Cretaceous 76-70 million years ago,Late Cretaceous,76-70 million years ago,76,Spain,40.4637,3.7492,euornithopod,Euornithopod,4.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Matherton (1869),priscus,Priscus,https://www.nhm.ac.uk/discover/dino-directory/rhabdodon.html
styracosaurus,Styracosaurus,herbivorous,Herbivorous,Late Cretaceous 76-70 million years ago,Late Cretaceous,76-70 million years ago,76,USA,37.0902,-95.7129,ceratopsian,Ceratopsian,5.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Lambe (1913),albertensis,Albertensis,https://www.nhm.ac.uk/discover/dino-directory/styracosaurus.html
euoplocephalus,Euoplocephalus,herbivorous,Herbivorous,Late Cretaceous 76-70 million years ago,Late Cretaceous,76-70 million years ago,76,USA,37.0902,-95.7129,armoured dinosaur,Armoured Dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,tutus,,,https://www.nhm.ac.uk/discover/dino-directory/euoplocephalus.html
gilmoreosaurus,Gilmoreosaurus,herbivorous,Herbivorous,Late Cretaceous 76-70 million years ago,Late Cretaceous,76-70 million years ago,76,China,35.8617,104.1954,euornithopod,Euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Brett-Surman (1979),mongoliensis,Mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/gilmoreosaurus.html
thescelosaurus,Thescelosaurus,herbivorous,Herbivorous,Late Cretaceous 76-67 million years ago,Late Cretaceous,76-67 million years ago,76,USA,37.0902,-95.7129,euornithopod,Euornithopod,3.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Gilmore (1913),neglectus,Neglectus,https://www.nhm.ac.uk/discover/dino-directory/thescelosaurus.html
edmontosaurus,Edmontosaurus,herbivorous,Herbivorous,Late Cretaceous 76-65 million years ago,Late Cretaceous,76-65 million years ago,76,Canada,56.1304,-106.3468,euornithopod,Euornithopod,13.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1917),regalis,Regalis,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html
pachycephalosaurus,Pachycephalosaurus,herbivorous,Herbivorous,Late Cretaceous 76-65 million years ago,Late Cretaceous,76-65 million years ago,76,USA,37.0902,-95.7129,euornithopod,Euornithopod,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Brown and Schlaikjer (1943),wyomingensis,Wyomingensis,https://www.nhm.ac.uk/discover/dino-directory/pachycephalosaurus.html
shuvuuia,Shuvuuia,omnivorous,Omnivorous,Late Cretaceous 75-81 million years ago,Late Cretaceous,75-81 million years ago,75,Mongolia,46.8625,103.8467,small theropod,Small Theropod,0.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Chiappe Norell and Clark (1998),deserti,Deserti,https://www.nhm.ac.uk/discover/dino-directory/shuvuuia.html
tylocephale,Tylocephale,herbivorous,Herbivorous,Late Cretaceous 75-72 million years ago,Late Cretaceous,75-72 million years ago,75,Mongolia,46.8625,103.8467,euornithopod,Euornithopod,1.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Maryańska and Osmólska (1974),gilmorei,Gilmorei,https://www.nhm.ac.uk/discover/dino-directory/tylocephale.html
tarchia,Tarchia,herbivorous,Herbivorous,Late Cretaceous 75-68 million years ago,Late Cretaceous,75-68 million years ago,75,Mongolia,46.8625,103.8467,armoured dinosaur,Armoured Dinosaur,8.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosaurinae,Maleev (1956),gigantea,Gigantea,https://www.nhm.ac.uk/discover/dino-directory/tarchia.html
dromiceiomimus,Dromiceiomimus,omnivorous,Omnivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74-70 million years ago,74,Canada,56.1304,-106.3468,large theropod,Large Theropod,3.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Parks (1926),brevitertius,Brevitertius,https://www.nhm.ac.uk/discover/dino-directory/dromiceiomimus.html
anchiceratops,Anchiceratops,herbivorous,Herbivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74-70 million years ago,74,Canada,56.1304,-106.3468,ceratopsian,Ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Brown (1914),ornatus,Ornatus,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html
velociraptor,Velociraptor,carnivorous,Carnivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74-70 million years ago,74,Mongolia,46.8625,103.8467,small theropod,Small Theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Osborn (1924),mongoliensis,Mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/velociraptor.html
tarbosaurus,Tarbosaurus,carnivorous,Carnivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74-70 million years ago,74,Mongolia,46.8625,103.8467,large theropod,Large Theropod,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Maleev (1955),bataar,Bataar,https://www.nhm.ac.uk/discover/dino-directory/tarbosaurus.html
saurolophus,Saurolophus,herbivorous,Herbivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74-70 million years ago,74,Mongolia,46.8625,103.8467,euornithopod,Euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1912),osborni,Osborni,https://www.nhm.ac.uk/discover/dino-directory/saurolophus.html
protoceratops,Protoceratops,herbivorous,Herbivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74-70 million years ago,74,Mongolia,46.8625,103.8467,ceratopsian,Ceratopsian,1.8m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Granger and Gregory (1923),andrewsi,Andrewsi,https://www.nhm.ac.uk/discover/dino-directory/protoceratops.html
gallimimus,Gallimimus,omnivorous,Omnivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74-70 million years ago,74,Mongolia,46.8625,103.8467,large theropod,Large Theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osmólska Roniewicz and Barsbold (1972),bullatus,Bullatus,https://www.nhm.ac.uk/discover/dino-directory/gallimimus.html
abelisaurus,Abelisaurus,carnivorous,Carnivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74-70 million years ago,74,Argentina,-34.603722,-58.381592,large theropod,Large Theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Bonaparte and Novas (1985),comahuensis,Comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html
ankylosaurus,Ankylosaurus,herbivorous,Herbivorous,Late Cretaceous 74-67 million years ago,Late Cretaceous,74-67 million years ago,74,USA,37.0902,-95.7129,armoured dinosaur,Armoured Dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Brown (1908),magniventris,Magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html
troodon,Troodon,carnivorous,Carnivorous,Late Cretaceous 74-65 million years ago,Late Cretaceous,74-65 million years ago,74,USA,37.0902,-95.7129,small theropod,Small Theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Leidy (1856),formosus,Formosus,https://www.nhm.ac.uk/discover/dino-directory/troodon.html
ornithomimus,Ornithomimus,omnivorous,Omnivorous,Late Cretaceous 74-65 million years ago,Late Cretaceous,74-65 million years ago,74,USA,37.0902,-95.7129,large theropod,Large Theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Marsh (1890),velox,Velox,https://www.nhm.ac.uk/discover/dino-directory/ornithomimus.html
orodromeus,Orodromeus,herbivorous,Herbivorous,Late Cretaceous 74 million years ago,Late Cretaceous,74 million years ago,74,USA,37.0902,-95.7129,euornithopod,Euornithopod,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Horner and Weishampel (1988),makelai,Makelai,https://www.nhm.ac.uk/discover/dino-directory/orodromeus.html
einiosaurus,Einiosaurus,herbivorous,Herbivorous,Late Cretaceous 74 million years ago,Late Cretaceous,74 million years ago,74,USA,37.0902,-95.7129,ceratopsian,Ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson (1995),procurvicornis,Procurvicornis,https://www.nhm.ac.uk/discover/dino-directory/einiosaurus.html
rinchenia,Rinchenia,omnivorous,Omnivorous,Late Cretaceous 72-68 million years ago,Late Cretaceous,72-68 million years ago,72,Mongolia,46.8625,103.8467,small theropod,Small Theropod,2.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Barsbold (1986),mongoliensis,Mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/rinchenia.html
opisthocoelicaudia,Opisthocoelicaudia,herbivorous,Herbivorous,Late Cretaceous 72-68 million years ago,Late Cretaceous,72-68 million years ago,72,Mongolia,46.8625,103.8467,sauropod,Sauropod,12.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Borsuk-Bialynicka (1977),skarzynskii,Skarzynskii,https://www.nhm.ac.uk/discover/dino-directory/opisthocoelicaudia.html
nomingia,Nomingia,omnivorous,Omnivorous,Late Cretaceous 72-68 million years ago,Late Cretaceous,72-68 million years ago,72,Mongolia,46.8625,103.8467,small theropod,Small Theropod,1.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Barsbold Osmólska Watabe Currie and Tsogtbaatar (2000),gobiensis,Gobiensis,https://www.nhm.ac.uk/discover/dino-directory/nomingia.html
nemegtosaurus,Nemegtosaurus,herbivorous,Herbivorous,Late Cretaceous 72-68 million years ago,Late Cretaceous,72-68 million years ago,72,Mongolia,46.8625,103.8467,sauropod,Sauropod,13.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,Nowinski (1971),mongoliensis,Mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/nemegtosaurus.html
homalocephale,Homalocephale,herbivorous,Herbivorous,Late Cretaceous 72-68 million years ago,Late Cretaceous,72-68 million years ago,72,Mongolia,46.8625,103.8467,euornithopod,Euornithopod,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea,Maryańska and Osmólska (1974),calathocercos,Calathocercos,https://www.nhm.ac.uk/discover/dino-directory/homalocephale.html
